idema,lon,fint,prec,alt,vmax,vv,dv,lat,dmax,ubi,hr,tamin,ta,tamax,pres,stdvv,ts,pres_nmar,tpr,vis,stddv,inso,tss5cm,psoltp,pliqt,rviento,vmaxu,dvu,pacutp,vvu,stdvvu,stddvu,dmaxu,tss20cm,geo850,geo925,nieve,geo700
C625O,-15.645,2025-01-07T10:00:00+0000,0.0,806.0,4.8,2.3,31.0,27.856943,32.0,SAN BARTOLOME TIRAJANA-LOMO PEDRO ALFONSO,78.0,12.5,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,
C628B,-15.77,2025-01-07T10:00:00+0000,0.0,318.0,3.0,0.5,225.0,27.90889,32.0,SAN NICOLAS T.-TASARTE/COPARLITA,74.0,14.3,15.1,15.1,,,,,,,,,,,,,,,,,,,,,,,,
C629Q,-15.711111,2025-01-07T10:00:00+0000,0.0,10.0,4.3,2.2,116.0,27.78,115.0,MOGAN (PUERTO RICO),63.0,17.6,19.8,19.8,,,,,,,,,,,,,,,,,,,,,,,,
C629X,-15.764167,2025-01-07T10:00:00+0000,0.0,10.0,3.9,0.4,34.0,27.81639,350.0,PUERTO DE MOGÁN,65.0,16.7,18.9,18.9,,,,,12.2,,,,,,,78.0,,,,,,,,,,,,
C635B,-15.574167,2025-01-07T10:00:00+0000,0.0,960.0,1.8,0.7,76.0,27.92,87.0,SAN BARTOLOME TIRAJANA-H.LAS TIRAJANAS,80.0,10.5,11.6,11.7,,,,,,,,,,,,,,,,,,,,,,,,
C639M,-15.575556,2025-01-07T10:00:00+0000,0.0,45.0,4.9,2.6,93.0,27.758057,117.0,SAN BARTOLOME TIRAJANA-C.INSULAR TURISMO,71.0,17.9,20.3,20.3,,,,,,,,,,,,,,,,,,,,,,,,
C639U,-15.453056,2025-01-07T10:00:00+0000,0.0,41.0,2.7,1.5,6.0,27.8125,0.0,SAN BARTOLOME TIRAJANA (EL MATORRAL),75.0,18.9,19.2,19.3,,,,,,,,,,,,,,,,,,,,,,,,
C648C,-15.453889,2025-01-07T10:00:00+0000,0.0,306.0,2.0,0.8,20.0,27.9025,22.0,AGÜIMES-EL MILANO,80.0,16.3,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,
C648N,-15.457778,2025-01-07T10:00:00+0000,0.0,344.0,3.1,1.8,105.0,27.9875,95.0,TELDE-CENTRO FORESTAL DORAMAS,76.0,15.4,18.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,
C649I,-15.395303,2025-01-07T10:00:00+0000,0.0,24.0,3.6,0.9,360.0,27.917725,290.0,LAS PALMAS DE GRAN CANARIA/GANDO,75.0,18.6,20.2,20.4,1017.9,0.4,28.7,1023.4,15.6,,149.0,10.0,,,,,,,,,,,,,,,,
C649R,-15.377778,2025-01-07T10:00:00+0000,0.0,9.0,3.1,0.7,187.0,27.986668,277.0,TELDE-MELENARA,72.0,15.7,19.7,19.7,,,,,,,,,,,,,,,,,,,,,,,,
C656V,-15.547222,2025-01-07T10:00:00+0000,0.0,683.0,4.1,2.0,110.0,28.075277,95.0,TEROR-OSORIO,69.0,13.7,16.5,16.5,,,,,,,,,,,,,,,,,,,,,,,,
C658X,-15.453333,2025-01-07T10:00:00+0000,0.0,269.0,3.4,1.6,124.0,28.078056,85.0,LAS PALMAS G.C.-TAFIRA/ZURBARÁN,77.0,16.4,18.3,18.3,,,,,,,,,,,,,,,,,,,,,,,,
C659H,-15.416111,2025-01-07T10:00:00+0000,0.0,55.0,2.5,1.9,150.0,28.089722,149.0,LAS PALMAS G.C. SAN CRISTÓBAL,68.0,20.8,21.6,22.5,,,,,15.4,,,,,,,48.0,,,,,,,,,,,,
C659M,-15.421389,2025-01-07T10:00:00+0000,0.0,15.0,2.4,1.3,191.0,28.113056,223.0,LAS PALMAS DE GC. PLAZA  DE LA FERIA,68.0,18.8,20.4,21.6,1020.4,,,1022.2,14.3,,,,,,,25.0,,,,,,,,,,,,
C665T,-15.565556,2025-01-07T10:00:00+0000,0.0,900.0,6.6,3.4,110.0,28.065556,95.0,VALLESECO,76.0,12.9,13.9,13.9,,,,,,,,,,,,,,,,,,,,,,,,
C668V,-15.674914,2025-01-07T10:00:00+0000,0.0,352.0,1.8,1.0,77.0,28.094479,172.0,AGAETE - SUERTE ALTA,73.0,14.8,17.5,17.5,,,,,,,,,,,,,,,,,,,,,,,,
C669B,-15.506667,2025-01-07T10:00:00+0000,0.0,86.0,4.3,2.5,107.0,28.141666,102.0,ARUCAS-BAÑADEROS,68.0,19.0,20.4,20.4,,,,,,,,,,,,,,,,,,,,,,,,
C689E,-15.595833,2025-01-07T10:00:00+0000,0.0,6.0,5.6,4.5,70.0,27.735832,80.0,MASPALOMAS,74.0,18.8,20.2,20.2,,0.5,,,15.4,,9.0,,,,,,,,,,,,,,,,,
C839X,-13.51021,2025-01-07T10:00:00+0000,0.0,19.0,5.8,4.6,62.0,29.229586,64.0,TEGUISE LA GRACIOSA-HELIPUERTO,62.0,18.0,19.9,19.9,1021.3,0.6,18.2,1023.6,12.4,20.0,7.0,57.0,21.5,,,,,,0.0,,,,,,,,,
C916Q,-17.978056,2025-01-07T10:00:00+0000,0.0,948.0,5.5,1.3,111.0,27.71889,185.0,PINAR-DEPÓSITO,100.0,11.4,11.6,11.8,,,,,,,,,,,,,,,,,,,,,,,,
C917E,-18.115,2025-01-07T10:00:00+0000,0.0,713.0,5.9,3.4,211.0,27.725279,202.0,DEHESA-REFUGIO,89.0,12.4,13.8,13.8,,,,,,,,,,,,,,,,,,,,,,,,
C919K,-18.017778,2025-01-07T10:00:00+0000,0.0,100.0,4.9,3.1,129.0,27.666668,137.0,TACORÓN-LAPILLAS-TORTUGA,74.0,18.8,19.6,19.6,,,,,,,,,,,,,,,,,,,,,,,,
C925F,-17.960417,2025-01-07T10:00:00+0000,0.0,1070.0,4.9,2.6,154.0,27.768951,150.0,SAN ANDRÉS-DEPÓSITO CABILDO,100.0,10.4,10.7,10.7,,,,,,,,,,,,,,,,,,,,,,,,
C928I,-17.919443,2025-01-07T10:00:00+0000,0.0,670.0,8.1,4.5,131.0,27.810833,95.0,VALVERDE,100.0,13.4,13.6,13.7,,,,,,,,,,,,,,,,,,,,,,,,
C929I,-17.88889,2025-01-07T10:00:00+0000,0.0,32.0,6.2,4.2,130.0,27.818888,130.0,EL HIERRO/AEROPUERTO,74.0,20.0,20.5,20.9,1019.2,0.4,,1023.0,15.7,,7.0,54.0,,,,,,,,,,,,,,,,
C939T,-18.107374,2025-01-07T10:00:00+0000,0.0,20.0,2.1,1.4,163.0,27.756441,225.0,SABINOSA-BALNEARIO,73.0,17.0,18.9,19.0,,,,,,,,,,,,,,,,,,,,,,,,
0009X,0.963335,2025-01-07T11:00:00+0000,0.0,406.0,14.7,7.9,274.0,41.213894,282.0,ALFORJA,68.0,6.8,7.0,8.1,,,,,,,,,,,,,,,,,,,,,,,,
0016A,1.178894,2025-01-07T11:00:00+0000,0.0,71.0,16.0,10.5,270.0,41.14972,270.0,REUS/AEROPUERTO,47.0,10.3,12.7,12.9,1008.3,1.1,13.7,1017.5,1.7,30.0,5.0,52.0,,,,,,,,,,,,,,,,
0034X,1.260838,2025-01-07T11:00:00+0000,0.0,233.0,,,,41.293053,,VALLS,55.0,9.8,10.0,11.1,,,,,,,,,,,,,,,,,,,,,,,,
0042Y,1.249167,2025-01-07T11:00:00+0000,0.0,55.0,10.2,3.1,276.0,41.123894,312.0,TARRAGONA  FAC. GEOGRAFIA,46.0,11.4,14.1,14.1,,,,,,,,,,,,,,,,,,,,,,,,
0061X,1.519269,2025-01-07T11:00:00+0000,0.0,632.0,17.1,6.5,286.0,41.417053,310.0,PONTONS,59.0,5.9,6.2,6.2,,,,,,,,,,,,,,,,,,,,,,,,
0066X,1.676942,2025-01-07T11:00:00+0000,0.0,177.0,7.1,2.7,292.0,41.33028,310.0,VILAFRANCA DEL PENEDÈS,50.0,12.1,12.6,12.6,,,,,,,,,,,,,,,,,,,,,,,,
0073X,1.852626,2025-01-07T11:00:00+0000,0.0,58.0,6.7,1.9,322.0,41.243786,345.0,SITGES-VALLCARCA,47.0,13.0,14.1,14.1,,,,,,,,,,,,,,,,,,,,,,,,
0076,2.069995,2025-01-07T11:00:00+0000,0.0,4.0,4.6,2.7,230.0,41.29278,20.0,BARCELONA/AEROPUERTO,49.0,10.6,13.3,13.4,1016.5,0.5,18.5,1017.1,2.9,18.3,13.0,60.0,,,,,,,,,,,,,,,,
0092X,1.857494,2025-01-07T11:00:00+0000,0.0,682.0,2.1,1.1,256.0,42.101387,230.0,BERGA  INSTITUTO,84.0,3.0,4.2,4.2,,,,,,,,,,,,,,,,,,,,,,,,
0106X,1.872504,2025-01-07T11:00:00+0000,0.0,361.0,3.2,0.8,115.0,41.866386,352.0,BALSARENY,71.0,5.9,7.4,7.4,,,,,,,,,,,,,,,,,,,,,,,,
0114X,2.026561,2025-01-07T11:00:00+0000,0.0,700.0,4.7,1.7,233.0,42.007057,197.0,PRATS DE LLUÇANÈS,84.0,4.0,4.6,4.6,,,,,,,,,,,,,,,,,,,,,,,,
0120X,2.09539,2025-01-07T11:00:00+0000,0.0,742.0,6.9,2.9,262.0,41.81328,260.0,MOIÀ,76.0,4.8,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
0149X,1.84028,2025-01-07T11:00:00+0000,0.0,291.0,4.9,2.6,55.0,41.71988,7.0,MANRESA,71.0,5.8,7.0,7.0,983.0,,7.6,1018.3,2.1,20.0,,44.0,6.3,0.0,0.0,,,,,,,,,,,,,
0158X,1.839223,2025-01-07T11:00:00+0000,0.0,738.0,,,,41.594444,,MONTSERRAT,75.0,4.4,5.9,5.9,,,,,,,,,,,,,,,,,,,,,,,,
0171X,1.617778,2025-01-07T11:00:00+0000,0.0,313.0,7.7,2.3,296.0,41.578888,322.0,IGUALADA,,,,,,,,,,,,,,,,101.0,,,,,,,,,,,,
0201D,2.200001,2025-01-07T11:00:00+0000,0.0,26.0,7.7,4.4,308.0,41.390556,309.0,BARCELONA  PORT OLÍMPIC,54.0,10.9,12.1,12.2,,,,,3.0,,,,,,,121.0,,,,,,,,,,,,
0201X,2.173886,2025-01-07T11:00:00+0000,0.0,11.0,5.7,1.5,99.0,41.374996,312.0,BARCELONA  DRASSANES,50.0,10.8,12.1,12.1,,,,,,,,,,,,,,,,,,,,,,,,
0222X,2.168412,2025-01-07T11:00:00+0000,0.0,175.0,8.5,5.1,281.0,41.612663,272.0,CALDES DE MONTBUI,55.0,10.2,11.3,11.4,,,,,,,,,,,,,,,,,,,,,,,,
0244X,2.362637,2025-01-07T11:00:00+0000,0.0,56.0,9.6,2.7,326.0,41.504894,357.0,VILASSAR DE DALT,53.0,11.2,12.6,12.6,,,,,,,,,,,,,,,,,,,,,,,,
0252D,2.54,2025-01-07T11:00:00+0000,,74.0,2.4,0.9,167.0,41.587223,137.0,ARENYS DE MAR,47.0,13.2,14.7,15.5,,,,,3.4,,,,,,,28.0,,,,,,,,,,,,
0260X,2.431023,2025-01-07T11:00:00+0000,0.0,936.0,,,,41.760063,,FONTMARTINA,58.0,9.0,9.1,9.5,,,,,,,,,,,,,,,,,,,,,,,,
0281Y,2.805112,2025-01-07T11:00:00+0000,0.0,45.0,4.8,1.5,316.0,41.677055,330.0,BLANES JARDIN BOTANICO,71.0,11.2,12.2,12.2,,,,,,,,,,,,,,,,,,,,,,,,
0284X,3.030933,2025-01-07T11:00:00+0000,0.0,14.0,4.4,2.3,288.0,41.807816,277.0,CASTELL PLATJA D?ARO,77.0,11.7,13.0,13.2,,,,,,,,,,,,,,,,,,,,,,,,
0312X,2.364353,2025-01-07T11:00:00+0000,0.0,851.0,5.1,2.6,234.0,42.258446,245.0,SANT PAU DE SEGURIES,,2.1,3.6,3.6,,,,,,,,,,,,,,,,,,,,,,,,
0320I,2.102774,2025-01-07T11:00:00+0000,0.0,1151.0,2.7,0.8,122.0,42.31688,90.0,PLANOLES,63.0,3.9,6.3,6.3,,,,,,,,,,,,,,,,,,,,,,,,
0324A,2.196187,2025-01-07T11:00:00+0000,0.0,675.0,,,,42.191387,,RIPOLL,89.0,3.0,5.3,5.3,,,,,3.6,,,,,,,24.0,,,,,,,,,,,,
0360X,2.551007,2025-01-07T11:00:00+0000,0.0,337.0,2.1,1.0,244.0,42.052837,252.0,LES PLANES D?HOSTOLES,83.0,8.0,10.5,10.5,,,,,,,,,,,,,,,,,,,,,,,,
0363X,2.513329,2025-01-07T11:00:00+0000,0.0,810.0,8.5,3.8,338.0,41.880833,342.0,SANT HILARI,71.0,4.7,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
0367,2.763329,2025-01-07T11:00:00+0000,0.0,143.0,3.6,1.6,50.0,41.911667,20.0,GIRONA/COSTA BRAVA,60.0,11.6,14.2,14.5,999.9,0.3,10.4,1015.3,6.5,,38.0,60.0,,,,,,,,,,,,,,,,
0370E,2.819442,2025-01-07T11:00:00+0000,0.0,76.0,1.8,0.6,196.0,41.972332,245.0,GIRONA-PARC MIGDIA,72.0,10.4,12.3,12.3,,,,,,,,,,,,,,,,,,,,,,,,
0372C,2.763611,2025-01-07T11:00:00+0000,0.0,157.0,2.6,1.0,96.0,42.104443,102.0,PORQUERES,66.0,10.3,13.0,13.0,,,,,6.8,,,,,,,29.0,,,,,,,,,,,,
0385X,3.201389,2025-01-07T11:00:00+0000,0.0,1.0,2.6,1.3,118.0,42.053886,185.0,L?ESTARTIT,60.0,13.8,14.4,14.4,,,,,,,,,,,,,,,,,,,,,,,,
0394X,2.471827,2025-01-07T11:00:00+0000,0.0,350.0,1.7,0.5,281.0,42.210556,282.0,VALL DE BIANYA,100.0,5.5,7.2,7.2,,,,,,,,,,,,,,,,,,,,,,,,
0413A,2.75558,2025-01-07T11:00:00+0000,0.0,355.0,2.3,1.0,91.0,42.386925,112.0,MAÇANET DE CABRENYS,75.0,10.9,11.8,11.8,,,,,,,,,,,,,,,,,,,,,,,,
0421X,3.006114,2025-01-07T11:00:00+0000,0.0,100.0,3.6,2.2,195.0,42.38988,225.0,ESPOLLA  LES ALBERES,57.0,13.7,14.4,14.4,,,,,,,,,,,,,,,,,,,,,,,,
0429X,2.960328,2025-01-07T11:00:00+0000,0.0,45.0,2.8,1.4,237.0,42.259083,197.0,FIGUERES  ELS ASPRES,64.0,12.9,13.8,13.8,,,,,,,,,,,,,,,,,,,,,,,,
1002Y,-1.542961,2025-01-07T11:00:00+0000,0.0,183.0,8.9,4.1,236.0,43.135723,233.0,BAZTÁN  IRURITA,60.0,4.2,10.1,10.1,,1.5,,,2.7,,23.0,,,,,,,,,,,,,,,,,
1010X,-1.675786,2025-01-07T11:00:00+0000,0.0,54.0,4.5,1.2,111.0,43.27869,165.0,BERA,59.0,8.4,11.7,11.7,,,,,,,,,,,,,,,,,,,,,,,,
1012P,-1.796536,2025-01-07T11:00:00+0000,0.0,120.0,6.9,2.0,240.0,43.32641,255.0,IRUN,51.0,11.6,13.6,13.6,,,,,,,,,,,,,,,,,,,,,,,,
1014A,-1.792116,2025-01-07T11:00:00+0000,0.0,4.0,8.2,5.8,220.0,43.357075,220.0,DONOSTIA/SAN SEBASTIÁN AEROPUERTO,44.0,13.4,15.1,15.2,1014.5,0.5,11.6,1015.5,2.9,,6.0,,,,,,,,,,,,,,,,,
1021X,-1.878823,2025-01-07T11:00:00+0000,0.0,165.0,11.4,6.2,180.0,43.213833,175.0,ERRENTERIA  AÑARBE,66.0,9.1,10.5,10.5,,,,,,,,,,,,,,,,,,,,,,,,
1025A,-2.256663,2025-01-07T11:00:00+0000,0.0,255.0,2.9,1.5,52.0,43.015553,47.0,SEGURA,75.0,5.8,9.8,9.8,,,,,,,,,,,,,,,,,,,,,,,,
1025X,-2.232037,2025-01-07T11:00:00+0000,0.0,255.0,3.1,0.7,156.0,43.054634,47.0,BEASAIN  ARRIARAN,73.0,6.3,8.4,8.4,,,,,,,,,,,,,,,,,,,,,,,,
1026X,-2.184273,2025-01-07T11:00:00+0000,0.0,290.0,5.2,1.2,214.0,43.05816,255.0,ORDIZIA,63.0,8.5,10.5,10.7,,,,,,,,,,,,,,,,,,,,,,,,
1033X,-1.950836,2025-01-07T11:00:00+0000,0.0,520.0,6.4,4.1,194.0,43.085,192.0,ARESO ,64.0,7.0,8.3,8.3,,,,,,,,,,,,,,,,,,,,,,,,
1037X,-2.337095,2025-01-07T11:00:00+0000,0.0,460.0,,,,43.051796,,LEGAZPI,70.0,7.6,8.1,8.1,,,,,,,,,,,,,,,,,,,,,,,,
1037Y,-2.3175,2025-01-07T11:00:00+0000,0.0,420.0,,2.7,,43.079918,,ZUMARRAGA,65.0,7.3,8.7,8.7,,,,,,,,,,,,31.0,,,,,,,,,,,,
1038X,-2.267175,2025-01-07T11:00:00+0000,0.0,180.0,5.0,2.2,201.0,43.172577,217.0,AZPEITIA,60.0,10.0,10.2,10.3,,,,,,,,,,,,,,,,,,,,,,,,
1041A,-2.251035,2025-01-07T11:00:00+0000,0.0,28.0,14.0,9.4,187.0,43.30214,188.0,ZUMAIA,52.0,12.1,12.7,13.4,1011.2,,,1014.6,3.0,,,,,,,331.0,,,,,,,,,,,,
1044X,-2.589645,2025-01-07T11:00:00+0000,0.0,617.0,,,,43.057835,,ARAMAIO  ETXAGUEN,74.0,5.1,6.9,6.9,,,,,,,,,,,,,,,,,,,,,,,,
1048X,-2.465715,2025-01-07T11:00:00+0000,0.0,308.0,,,,43.02505,,ARETXABALETA,65.0,7.7,9.5,9.5,,,,,,,,,,,,,,,,,,,,,,,,
1049N,-2.495827,2025-01-07T11:00:00+0000,0.0,470.0,5.6,1.5,182.0,43.138332,170.0,ELGETA,69.0,6.7,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,
1050J,-2.413218,2025-01-07T11:00:00+0000,0.0,119.0,11.1,3.8,154.0,43.209293,181.0,ELGOIBAR,57.0,10.7,11.4,11.6,1001.3,,,1015.6,3.2,,,,,,,149.0,,,,,,,,,,,,
1052A,-2.397148,2025-01-07T11:00:00+0000,0.0,150.0,13.2,6.5,247.0,43.31722,235.0,MUTRIKU,60.0,9.9,10.7,10.7,,,,,,,,,,,,,,,,,,,,,,,,
1056K,-2.671184,2025-01-07T11:00:00+0000,0.0,45.0,7.8,3.3,153.0,43.34239,182.0,FORUA,64.0,11.1,11.9,11.9,,,,,,,,,,,,,,,,,,,,,,,,
1057B,-2.752762,2025-01-07T11:00:00+0000,0.0,93.0,15.1,8.7,202.0,43.453907,207.0,MATXITXAKO,55.0,10.9,11.8,11.8,,,,,,,,,,,,,,,,,,,,,,,,
1059X,-3.021602,2025-01-07T11:00:00+0000,0.0,81.0,8.3,3.7,196.0,43.375088,253.0,PUNTA GALEA ,57.0,11.6,12.5,12.5,1003.5,1.5,,1012.4,4.1,,28.0,,,,,,,,,,,,,,,,,
1060X,-3.005452,2025-01-07T11:00:00+0000,0.0,240.0,7.6,3.1,144.0,43.05024,97.0,AMURRIO,63.0,9.6,10.3,10.3,,,,,,,,,,,,,,,,,,,,,,,,
1064L,-2.860274,2025-01-07T11:00:00+0000,0.0,270.0,7.6,1.4,271.0,43.096333,167.0,OROZKO  IBARRA,45.0,9.4,10.8,11.2,,,,,,,,,,,,,,,,,,,,,,,,
1074C,-2.706153,2025-01-07T11:00:00+0000,0.0,100.0,6.5,1.6,152.0,43.202892,140.0,AMOREBIETA-ETXANO,58.0,8.3,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,
1078C,-3.209649,2025-01-07T11:00:00+0000,0.0,210.0,,,,43.180576,,BALMASEDA,68.0,8.9,9.5,9.5,,,,,,,,,,,,,,,,,,,,,,,,
1078I,-3.104777,2025-01-07T11:00:00+0000,0.0,208.0,13.3,3.8,240.0,43.203384,224.0,GÜEÑES,60.0,9.8,10.6,10.6,990.2,,,1015.2,3.2,,,,,,,151.0,,,,,,,,,,,,
1082,-2.906304,2025-01-07T11:00:00+0000,0.0,42.0,8.8,3.9,190.0,43.29795,170.0,BILBAO AEROPUERTO,52.0,11.8,12.4,12.4,1010.4,1.0,10.8,1015.1,2.9,,22.0,10.0,,,,,,,,,,,,,,,,
1083B,-3.168615,2025-01-07T11:00:00+0000,0.0,177.0,7.6,3.0,133.0,43.27972,100.0,SOPUERTA,65.0,9.6,10.5,10.5,,,,,,,,,,,,,,,,,,,,,,,,
1083L,-3.233884,2025-01-07T11:00:00+0000,0.0,45.0,10.3,5.7,183.0,43.39473,183.0,CASTRO URDIALES-EDAR,54.0,11.9,12.9,13.0,,,,,3.8,,,,,,,224.0,,,,,,,,,,,,
1089U,-3.47083,2025-01-07T11:00:00+0000,0.0,80.0,7.9,2.2,163.0,43.255833,197.0,RAMALES DE LA VICTORIA-ETAP,66.0,8.8,11.3,11.3,,,,,,,,,,,,,,,,,,,,,,,,
1096X,-3.469721,2025-01-07T11:00:00+0000,0.0,10.0,3.7,0.7,166.0,43.39667,147.0,TRETO,72.0,9.6,10.7,10.7,,,,,,,,,,,,,,,,,,,,,,,,
1103X,-3.721084,2025-01-07T11:00:00+0000,0.0,849.0,17.0,11.4,209.0,43.227554,215.0,SAN ROQUE DE RIOMERA-CARACOL,75.0,4.7,5.9,6.1,,,,,,,,,,,,,,,,,,,,,,,,
1109X,-3.831385,2025-01-07T11:00:00+0000,0.0,3.0,10.3,6.6,190.0,43.42861,200.0,SANTANDER AEROPUERTO,61.0,11.4,11.8,11.8,1013.1,0.9,10.3,1013.9,4.5,,5.0,0.0,,,,,,,,,,,,,,,,
1111X,-3.800431,2025-01-07T11:00:00+0000,0.0,50.96,11.5,6.7,187.0,43.491055,190.0,SANTANDER CMT,62.0,11.2,11.3,11.3,1006.3,1.4,10.8,1013.2,4.3,20.0,10.0,0.1,10.1,,,,12.0,187.0,0.17,6.8,1.9,9.0,184.0,10.6,,,,
1124E,-3.849351,2025-01-07T11:00:00+0000,0.0,195.7,11.1,4.7,190.0,43.2456,215.0,VILLACARRIEDO - SANTIBAÑEZ,65.0,9.4,10.5,10.5,,,,,,,,,,,,,,,,,,,,,,,,
1135C,-4.214141,2025-01-07T11:00:00+0000,0.0,460.0,2.0,0.8,127.0,43.146942,245.0,BÁRCENA MAYOR-TORIZ,100.0,5.4,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,
1152C,-4.048612,2025-01-07T11:00:00+0000,0.0,105.0,9.7,2.4,184.0,43.271942,157.0,SAN FELICES DE BUELNA-TARRIBA,62.0,10.4,11.3,11.5,,,,,,,,,,,,,,,,,,,,,,,,
1154H,-4.027419,2025-01-07T11:00:00+0000,0.0,110.0,7.9,2.5,150.0,43.358517,195.0,TORRELAVEGA-SIERRAPANDO,59.0,10.5,11.5,11.5,,,,,,,,,,,,,,,,,,,,,,,,
1159,-4.392103,2025-01-07T11:00:00+0000,0.0,38.0,5.1,1.7,132.0,43.393456,157.0,SAN VICENTE  FARO,65.0,11.5,12.6,12.6,1007.1,,,1011.9,6.2,,,,,,,83.0,,,,,,,,,,,,
1167B,-4.812779,2025-01-07T11:00:00+0000,1.8,1100.0,7.1,2.6,153.0,43.143894,172.0,FUENTE DÉ-TELEFÉRICO,97.0,0.6,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,
1167G,-4.802929,2025-01-07T11:00:00+0000,,1910.27,15.8,11.3,230.0,43.15487,263.0,MIRADOR DEL CABLE  PARQUE NACIONAL PICOS DE EUROPA,99.0,-2.6,-2.0,-1.8,803.1,1.6,,1015.8,-2.2,,17.0,,,,,,,,,,,,,,,,,
1167H,-4.834772,2025-01-07T11:00:00+0000,,2330.62,10.8,3.6,131.0,43.176186,143.0,CABAÑA VERÓNICA  PARQUE NACIONAL PICOS DE EUROPA,97.0,-1.2,-0.8,-0.3,762.3,2.1,,1012.5,-1.2,,69.0,,,,,,,,,,,,,,,,,
1167J,-4.773842,2025-01-07T11:00:00+0000,,1721.85,20.6,13.8,231.0,43.089184,242.0,CORISCAO  PARQUE NACIONAL PICOS DE EUROPA,98.0,-2.0,-1.9,-1.6,821.2,2.2,,1015.3,-2.2,,11.0,,,,,,,,,,,,,,,,,
1174I,-4.601783,2025-01-07T11:00:00+0000,0.2,250.0,6.9,2.8,133.0,43.18286,157.0,TAMA,92.0,5.6,7.9,7.9,,,,,,,,,,,,,,,,,,,,,,,,
1176A,-4.668234,2025-01-07T11:00:00+0000,0.4,940.0,7.0,2.2,37.0,43.255714,45.0,TRESVISO,91.0,4.3,4.8,5.1,,,,,,,,,,,,,,,,,,,,,,,,
1178E,-4.902024,2025-01-07T11:00:00+0000,,678.0,8.2,3.5,149.0,43.17602,128.0,CORDIÑANES  PARQUE NACIONAL PICOS DE EUROPA,85.0,4.2,4.7,4.7,936.8,0.9,,1017.3,2.5,,14.0,,,,,,,,,,,,,,,,,
1178I,-4.820994,2025-01-07T11:00:00+0000,,1970.0,20.2,4.9,85.0,43.202496,134.0,VEGA DE URRIELLU  PARQUE NACIONAL PICOS DE EUROPA,79.0,3.1,3.9,3.9,796.9,2.4,,1010.0,0.6,,47.0,,,,,,,,,,,,,,,,,
1178R,-4.736775,2025-01-07T11:00:00+0000,0.4,1235.71,13.1,5.0,252.0,43.23739,263.0,SOTRES  PARQUE NACIONAL PICOS DE EUROPA,87.0,3.1,6.2,6.2,871.1,2.5,,1010.8,4.1,,33.0,,,,,,,,,,,,,,,,,
1178Y,-4.931762,2025-01-07T11:00:00+0000,1.6,953.0,,,,43.145374,,SOTO DE VALDEÓN (AUTOMATICA),100.0,0.7,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,
1179B,-4.852774,2025-01-07T11:00:00+0000,0.6,458.0,5.1,0.4,277.0,43.31111,117.0,CARREÑA DE CABRALES,90.0,6.6,7.1,7.1,,,,,,,,,,,,,,,,,,,,,,,,
1183X,-4.748056,2025-01-07T11:00:00+0000,0.2,10.0,3.9,1.8,216.0,43.420277,212.0,LLANES,77.0,10.5,10.8,12.1,1010.1,0.5,10.2,1011.3,7.0,20.0,12.0,0.0,10.4,,,,,,0.0,,,,,,,,,
1186P,-5.119247,2025-01-07T11:00:00+0000,0.2,370.0,17.1,7.5,148.0,43.266632,155.0,AMIEVA  PANIZALES,66.0,9.2,10.8,10.8,,,,,,,,,,,,,,,,,,,,,,,,
1191D,-5.00172,2025-01-07T11:00:00+0000,,1505.0,7.9,2.7,175.0,43.177372,189.0,PICO COTORRA  PARQUE NACIONAL PICOS DE EUROPA,97.0,-0.2,0.3,0.3,846.6,1.3,,,,,27.0,,,,,,,,,,,,,,,,,
1199X,-5.396674,2025-01-07T11:00:00+0000,0.4,280.0,4.5,1.4,172.0,43.377834,95.0,BARGAÉU PILOÑA,91.0,6.2,7.7,7.7,,,,,,,,,,,,,,,,,,,,,,,,
1203D,-5.247153,2025-01-07T11:00:00+0000,0.6,30.0,3.9,2.0,250.0,43.49235,267.0,COLUNGA,88.0,8.7,9.2,9.2,,,,,,,,,,,,,,,,,,,,,,,,
1207U,-5.621111,2025-01-07T11:00:00+0000,0.2,25.8,1.9,1.0,131.0,43.523056,143.0,GIJÓN-CAMPUS,91.0,8.6,9.3,9.3,1007.6,0.4,10.2,1011.2,7.8,20.0,53.0,0.0,11.4,,,,,,0.16,,,,,12.2,,,,
1208H,-5.700833,2025-01-07T11:00:00+0000,0.1,5.0,4.5,2.3,204.0,43.559723,197.0,GIJÓN  MUSEL,92.0,9.7,10.5,10.5,1010.4,,,,,,,,,,,46.0,,,,,,,,,,,,
1210X,-5.848572,2025-01-07T11:00:00+0000,0.0,100.0,6.9,2.8,148.0,43.655926,145.0,CABO PEÑAS,74.0,9.8,10.6,10.6,,,,,6.1,,,,,,,144.0,,,,,,,,,,,,
