idema,lon,fint,prec,alt,vmax,vv,dv,lat,dmax,ubi,hr,tamin,ta,tamax,pres,stdvv,ts,pres_nmar,tpr,vis,stddv,inso,tss5cm,psoltp,pliqt,rviento,vmaxu,dvu,pacutp,vvu,stdvvu,stddvu,dmaxu,tss20cm,geo850,geo925,nieve,geo700
0367,2.763329,2025-01-07T07:00:00+0000,0.0,143.0,3.6,2.4,320.0,41.911667,330.0,GIRONA/COSTA BRAVA,100.0,5.3,6.0,6.8,998.3,0.4,7.5,1014.1,5.9,,11.0,0.0,,,,,,,,,,,,,,,,
0370E,2.819442,2025-01-07T07:00:00+0000,0.0,76.0,1.8,0.1,307.0,41.972332,217.0,GIRONA-PARC MIGDIA,94.0,7.4,7.4,8.2,,,,,,,,,,,,,,,,,,,,,,,,
0372C,2.763611,2025-01-07T07:00:00+0000,0.0,157.0,3.4,0.4,267.0,42.104443,322.0,PORQUERES,95.0,5.1,5.1,6.5,,,,,4.3,,,,,,,40.0,,,,,,,,,,,,
0385X,3.201389,2025-01-07T07:00:00+0000,0.0,1.0,2.6,1.7,336.0,42.053886,320.0,L?ESTARTIT,66.0,9.2,9.2,10.4,,,,,,,,,,,,,,,,,,,,,,,,
0394X,2.471827,2025-01-07T07:00:00+0000,0.0,350.0,1.9,0.3,266.0,42.210556,242.0,VALL DE BIANYA,100.0,2.5,2.5,2.9,,,,,,,,,,,,,,,,,,,,,,,,
0413A,2.75558,2025-01-07T07:00:00+0000,0.0,355.0,2.2,1.5,305.0,42.386925,320.0,MAÇANET DE CABRENYS,97.0,2.3,2.9,2.9,,,,,,,,,,,,,,,,,,,,,,,,
0421X,3.006114,2025-01-07T07:00:00+0000,0.0,100.0,4.6,1.4,11.0,42.38988,192.0,ESPOLLA  LES ALBERES,70.0,5.3,5.3,7.7,,,,,,,,,,,,,,,,,,,,,,,,
0429X,2.960328,2025-01-07T07:00:00+0000,0.0,45.0,2.7,1.7,308.0,42.259083,305.0,FIGUERES  ELS ASPRES,83.0,7.0,7.0,8.1,,,,,,,,,,,,,,,,,,,,,,,,
1002Y,-1.542961,2025-01-07T07:00:00+0000,0.0,183.0,0.9,0.1,266.0,43.135723,175.0,BAZTÁN  IRURITA,100.0,1.4,1.5,1.7,,0.2,,,1.5,,8.0,,,,,,,,,,,,,,,,,
1010X,-1.675786,2025-01-07T07:00:00+0000,0.0,54.0,1.1,0.1,180.0,43.27869,185.0,BERA,97.0,3.8,3.9,3.9,,,,,,,,,,,,,,,,,,,,,,,,
1012P,-1.796536,2025-01-07T07:00:00+0000,0.0,120.0,5.2,2.5,265.0,43.32641,247.0,IRUN,68.0,8.2,8.2,8.9,,,,,,,,,,,,,,,,,,,,,,,,
1014A,-1.792116,2025-01-07T07:00:00+0000,0.0,4.0,5.7,4.0,220.0,43.357075,220.0,DONOSTIA/SAN SEBASTIÁN AEROPUERTO,66.0,8.7,9.3,9.3,1014.4,0.2,6.4,1015.4,3.2,,3.0,,,,,,,,,,,,,,,,,
1021X,-1.878823,2025-01-07T07:00:00+0000,0.0,165.0,2.7,1.0,345.0,43.213833,335.0,ERRENTERIA  AÑARBE,100.0,3.9,4.0,4.1,,,,,,,,,,,,,,,,,,,,,,,,
1025A,-2.256663,2025-01-07T07:00:00+0000,0.0,255.0,1.2,0.5,180.0,43.015553,275.0,SEGURA,99.0,0.8,1.0,1.2,,,,,,,,,,,,,,,,,,,,,,,,
1025X,-2.232037,2025-01-07T07:00:00+0000,0.0,255.0,1.0,0.2,16.0,43.054634,122.0,BEASAIN  ARRIARAN,99.0,0.9,1.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,
1026X,-2.184273,2025-01-07T07:00:00+0000,0.0,290.0,3.0,1.4,284.0,43.05816,292.0,ORDIZIA,100.0,1.2,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
1033X,-1.950836,2025-01-07T07:00:00+0000,0.0,520.0,1.0,0.2,96.0,43.085,25.0,ARESO ,92.0,2.1,2.7,2.7,,,,,,,,,,,,,,,,,,,,,,,,
1037X,-2.337095,2025-01-07T07:00:00+0000,0.0,460.0,,,,43.051796,,LEGAZPI,91.0,2.2,3.2,3.2,,,,,,,,,,,,,,,,,,,,,,,,
1037Y,-2.3175,2025-01-07T07:00:00+0000,0.0,420.0,,0.7,,43.079918,,ZUMARRAGA,74.0,3.4,4.7,4.7,,,,,0.4,,,,,,,31.0,,,,,,,,,,,,
1038X,-2.267175,2025-01-07T07:00:00+0000,0.0,180.0,2.4,0.6,164.0,43.172577,180.0,AZPEITIA,93.0,3.3,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
1041A,-2.251035,2025-01-07T07:00:00+0000,0.0,28.0,7.0,4.9,191.0,43.30214,195.0,ZUMAIA,64.0,8.2,9.2,9.2,1011.8,,,1015.2,2.7,,,,,,,180.0,,,,,,,,,,,,
1044X,-2.589645,2025-01-07T07:00:00+0000,0.0,617.0,,,,43.057835,,ARAMAIO  ETXAGUEN,79.0,3.3,3.4,3.8,,,,,,,,,,,,,,,,,,,,,,,,
1048X,-2.465715,2025-01-07T07:00:00+0000,0.0,308.0,,,,43.02505,,ARETXABALETA,99.0,1.6,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
1049N,-2.495827,2025-01-07T07:00:00+0000,0.0,470.0,3.3,1.0,274.0,43.138332,262.0,ELGETA,81.0,3.6,4.4,4.4,,,,,,,,,,,,,,,,,,,,,,,,
1050J,-2.413218,2025-01-07T07:00:00+0000,0.0,119.0,4.8,2.0,233.0,43.209293,214.0,ELGOIBAR,79.0,5.7,6.2,6.4,1001.8,,,1016.4,2.9,,,,,,,67.0,,,,,,,,,,,,
1052A,-2.397148,2025-01-07T07:00:00+0000,0.0,150.0,9.0,5.4,232.0,43.31722,230.0,MUTRIKU,57.0,8.6,8.8,8.8,,,,,,,,,,,,,,,,,,,,,,,,
1056K,-2.671184,2025-01-07T07:00:00+0000,0.0,45.0,3.2,1.9,181.0,43.34239,177.0,FORUA,78.0,6.2,6.5,6.5,,,,,,,,,,,,,,,,,,,,,,,,
